ID,OF1,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF12,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF30,OF31,OF32,OF33,OF34,OF35,OF36,OF37,OF38,F1,F2,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,S1,S2,S3,S4,S5,S6,PC,FC,WRI,SVT,VCHWC,HWCC,MC,PP,ST,SWP,DP,ADLM,ATDO,AOD,WS,WS_Function,WS_Benefit ,WS Benefit Score ,SFTS,SFS_Function,SFS_Benefit ,SFS Benefit Score,SR,SR_Function,SR_Benefit,SR Benefit Rating,PR,PR_Function,PR_Benefit,PR Benefit Rating,NR,NR_Function,NR_Benefit,NR Benefit Rating,WFR,WFR_Function,WFR_Benefit,WFR_Benefit Rating,CSP,CSP_Function,CC,CC_Function,OE,OE_Function,APP,APP_Function,APP_Benefit,APP Benefit Rating,FA,FA_Function,FA_Benefit,FA Benefit Rating ,FR,FR_Function,FR_Benefit,FR Benefit Rating ,AM,AM_Function,AM_Benefit,AM Benefit Rating,WBF,WBF_Function,WBF_Benefit,WBF Benefit Rating,WBN,WBN_Function,WBN_Benefit,WBN Benefit Rating,RSB,RSB_Function,RSB_Benefit,RSB Benefit Rating,KMH,KMH_Function,KMH_Benefit,KMH Benefit Rating,PH,PH_Function,PH_Benefit,PH Benefit Rating,POL,POL_Function,POL_Benefit,POL Benefit Rating,CRI_Benefit,PU Benefit Rating,Sens_Benefit,Sens Benefit Rating,STR_Benefit,STR Benefit Rating
28,0,2,4,6,0,0,0,4,4,2,3,0.0,0,5,5,2,3,0.45,0.0,3,3,1,0,2,0,3,1428,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,0,4,0,2,3,1,1,0,0,23,2,0,0,0,0,0,0,2,2,1,1,1,1,0,2,3,3,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0.0,0,2,1,4,0,0,4,0,1,0,0,5,0,0,0,6,0.0,3,6.57,50.0,1.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,2,0,1,3,0,0,0,2,0.3,26.0,25.7,5.26,1,0.0,0,5.18,1,2.87,1,2.38,0,4.12,1,4.14,1,5.81,2,2.82,1,3.72,1,4.86,1.0,0,0,6.58,1,5.77,1,6.85,1,4.13,1,5.83,2,0.0,0,0.0,0,9.22,2,0.0,0,8.93,2,2.91,1,0.0,0,0.0,0,0.0,0,0.0,0,9.68,2,0.0,0,10.94,2,0.0,0,11.47,2,2.99,0,9.93,2,0.0,0,0.0,0,7.01,2,1.62,0
31,0,0,4,6,0,3,0,3,4,2,2,0.0,6,5,5,2,3,0.56,0.0,3,3,0,0,2,0,3,1345,1,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,2,0,3,0,2,2,1,2,2,0,83,2,1,2,0,1,0,0,1,0,2,1,1,2,0,2,0,3,1,1,2,0,0,1,1,1,1,1,3,2,4,0,1,0,0,2,1,0,0,1,3,0.0,1,2,0,4,0,0,0,0,1,0,0,5,0,0,0,6,0.0,0,6.4,68.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,2,0,2,1,0,1,0,1,0.0,16.7,16.7,2.48,0,0.0,0,6.34,2,4.91,2,3.3,0,4.25,1,3.17,1,3.0,2,3.27,1,4.62,1,6.33,2.0,0,0,4.04,1,5.89,1,6.43,1,3.91,1,7.57,2,6.73,1,0.0,0,9.6,2,0.0,0,1.5,0,7.87,2,0.0,0,0.0,0,7.35,2,10.0,2,9.61,2,8.24,2,3.68,1,10.0,2,8.95,2,10.0,2,9.82,2,10.0,2,0.0,0,8.58,2,1.67,0
39,0,3,4,6,0,3,0,3,4,2,3,0.0,2,2,5,2,3,0.5,0.0,3,3,1,0,2,0,3,1380,0,5,0,0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0,1,2,1,0,1,0,1,4,3,2,21,3,2,0,0,1,0,0,1,3,2,1,1,0,1,1,2,1,1,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1.0,2,2,1,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,1,6.42,22.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,3,0,0,2,0,2,0,2,8.7,66.7,58.0,4.88,1,0.0,1,3.79,1,0.0,0,0.87,0,4.09,1,4.09,1,5.77,2,0.39,0,3.72,1,3.85,1.0,0,0,8.1,2,5.82,1,6.91,1,2.77,0,6.91,2,0.0,0,0.0,0,6.59,2,0.0,0,6.13,1,8.42,2,5.52,1,10.0,2,6.29,1,10.0,2,9.17,2,7.79,2,10.94,2,0.0,0,7.92,2,10.0,2,9.78,2,10.0,2,0.0,0,0.0,0,1.45,0
40,0,3,4,6,0,3,0,3,4,2,3,0.0,3,1,5,4,3,0.6,0.0,3,3,1,0,2,0,2,1380,0,5,0,0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,0,1,0,1,0,1,2,3,2,21,3,2,1,0,0,0,0,1,4,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,2,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,1,5.5780957446808515,137.21428571428572,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0,1,0,0,4,0,2,1,2,9.7,67.3,57.599999999999994,6.27,1,0.0,0,0.0,0,0.0,0,10.0,0,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,0.97,1.0574162679425838,0,0,9.73,2,3.95,1,0.0,0,0.15,0,6.53,2,0.0,0,0.0,0,2.47,1,0.0,0,3.54,1,7.79,2,4.94,1,10.0,2,6.47,1,10.0,2,7.54,2,7.79,2,10.94,2,0.0,0,8.3,2,10.0,2,9.74,2,10.0,2,0.0,0,5.55,1,0.0,0
41,0,2,4,6,0,3,0,4,4,2,4,0.0,6,3,5,3,3,0.77,0.0,3,3,2,0,2,2,3,1337,1,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,1,2,1,0,1,0,1,1,4,1,3,3,3,1,0,1,0,0,0,4,0,1,2,0,1,0,2,3,1,1,0,0,0,1,1,1,4,1,4,4,4,0,1,0,0,0,1,0,0,1,3,0.0,2,2,0,4,0,0,4,0,1,0,1,4,0,0,0,3,0.0,1,4.45,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,1,0,0,4,0,2,2,2,6.7,105.0,98.3,2.94,1,0.0,0,7.92,2,5.14,2,4.29,1,3.75,1,4.18,1,5.24,2,1.98,0,0.0,0,6.2,2.0,0,0,6.67,1,4.8,1,8.33,2,3.29,0,10.0,2,5.84,1,3.91,1,6.14,2,0.0,0,0.48,0,10.0,2,8.13,2,10.0,2,6.42,1,10.0,2,9.32,2,8.24,2,10.94,2,10.0,2,7.31,2,10.0,2,9.31,2,10.0,2,0.0,0,4.61,1,1.75,0
42,0,1,4,6,0,3,0,4,4,2,3,0.0,5,3,5,4,3,0.8,0.0,3,3,2,0,2,0,2,1363,0,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,0,2,1,0,2,0,2,2,3,2,3,1,2,0,0,0,0,0,0,4,0,1,0,0,0,0,2,1,0,3,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,2,2,0,4,0,0,4,0,1,0,0,5,0,0,0,6,0.0,0,3.77,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,1,0,0,2,0,2,0,2,2.7,48.3,45.599999999999994,6.85,2,0.0,0,1.12,0,0.0,0,10.0,2,0.0,0,10.0,0,10.0,0,10.0,2,0.0,0,2.2,1.0,0,0,9.1,2,4.67,1,0.0,0,-0.11,0,10.0,2,0.0,0,0.0,0,1.75,1,0.0,0,1.56,0,7.64,2,4.72,1,10.0,2,6.68,1,10.0,2,7.82,2,7.34,2,1.28,0,7.5,2,4.69,1,10.0,2,9.88,2,10.0,2,0.0,0,5.29,1,0.0,0
45,0,3,4,6,0,3,0,3,4,2,4,0.0,5,2,2,3,3,0.4,0.0,3,3,1,0,2,3,3,1496,1,5,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,1,1,2,1,0,1,0,1,2,5,0,2,3,3,0,0,0,0,0,1,3,1,1,0,0,0,1,2,1,3,0,2,0,0,1,1,2,4,1,3,3,4,1,1,0,0,1,1,0,0,0,2,0.0,0,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.007692307692307693,3,4.68,137.21428571428572,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,1,0,2,0,2,3,2,8.3,70.0,61.7,1.71,0,0.0,0,7.25,2,4.79,1,3.34,0,4.15,1,5.75,2,5.85,2,2.61,1,3.72,1,7.44,2.0,0,0,6.94,1,7.79,2,8.61,2,6.34,1,7.26,2,8.42,1,2.99,1,8.79,2,0.0,0,4.05,1,10.0,2,8.73,2,10.0,2,7.95,2,10.0,2,6.72,1,8.06,2,10.94,2,7.5,2,7.46,2,10.0,2,9.11,2,10.0,2,0.0,0,4.18,1,1.7,0
54,0,1,4,4,0,3,0,3,4,2,0,0.0,4,4,5,0,3,0.49,0.0,3,3,1,0,2,0,3,1421,0,5,0,0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0,0,2,2,0,2,0,3,3,2,1,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1.0,2,2,0,3,1,1,4,0,1,0,3,5,0,0,0,6,0.0,1,4.5,55.0,0.21428571428571427,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,3,0,3,4,0,2,1,2,5.7,85.3,79.6,1.15,0,0.0,0,7.35,2,5.0,2,-0.27,0,0.0,0,3.95,1,0.0,0,-1.96,0,0.0,0,1.23,0.0,0,0,7.13,2,3.25,0,8.98,2,1.94,0,6.24,2,0.0,0,0.0,0,3.68,1,0.0,0,3.48,1,7.97,2,4.55,1,10.0,2,6.26,1,10.0,2,7.59,2,8.69,2,10.94,2,7.5,2,5.94,1,10.0,2,9.64,2,10.0,2,0.0,0,4.39,1,1.61,0
55,0,3,4,6,0,3,0,3,4,2,3,0.0,2,1,5,4,3,0.59,0.0,3,3,2,0,2,0,3,1437,1,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,0,2,2,0,2,0,2,4,2,2,21,2,1,1,0,0,0,0,0,4,2,1,0,0,0,1,2,1,0,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,2,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,1,3.65,53.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,3,0,0,4,0,2,0,2,10.0,98.7,88.7,6.55,2,0.0,0,0.96,0,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,0,0.0,0,1.23,0.0,0,0,9.5,2,5.16,1,0.0,0,0.98,0,4.38,1,0.0,1,0.0,0,1.73,1,0.0,0,4.63,1,7.94,2,4.9,1,10.0,2,6.58,1,10.0,2,8.1,2,7.79,2,10.94,2,0.0,0,8.96,2,10.0,2,10.01,2,10.0,2,0.0,0,5.96,1,0.0,0
57,0,0,4,6,0,0,3,3,4,2,4,0.0,6,3,5,4,3,0.77,0.0,3,3,2,0,2,3,3,1493,1,5,0,0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,1,0,2,2,0,2,0,2,3,2,2,5,0,1,0,0,0,0,0,1,4,2,0,1,0,0,1,2,1,1,3,3,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,2,2,0,4,0,0,4,0,1,0,1,5,0,0,0,6,0.0,1,3.69,96.0,0.0,0.3787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0,3,1,0,4,0,2,0,2,5.3,161.3,156.0,6.93,2,0.0,0,0.95,0,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,10.0,2,0.0,0,3.14,1.0,0,0,9.33,2,5.83,1,0.0,0,1.76,0,10.0,2,5.32,1,0.0,0,3.48,1,0.0,1,-0.14,0,7.82,2,0.0,0,0.0,0,6.97,1,10.0,2,9.45,2,8.6,2,10.94,2,10.0,2,7.07,2,10.0,2,9.75,2,10.0,2,0.0,0,7.03,2,0.0,0
69,0,3,3,6,0,3,0,3,2,1,0,0.0,3,1,2,4,3,0.286,0.0,3,3,1,0,1,1,2,1881,1,5,1,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,3,2,3,1,1,0,4,1,2,3,0,3,3,2,1,2,0,0,0,3,0,1,1,2,0,0,0,2,2,3,0,2,1,0,1,1,2,4,1,3,2,3,2,1,1,0,2,1,0,1,0,3,0.0,0,1,0,3,0,1,4,0,1,1,2,5,0,0,0,6,0.0,2,7.09,360.0,1.0,0.3787878787878788,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.0,0,1,2,0,0,0,1,0,2,3,2,0.0,66.23146067415729,62.378282828282835,4.54,1,3.52,1,5.5,1,4.63,1,3.32,0,4.58,1,3.84,1,10.0,2,3.54,1,10.0,2,8.18,2.0,6,2,8.18,2,8.82,2,7.16,1,8.92,2,6.34,2,8.05,1,6.87,1,9.57,2,5.98,2,6.01,1,8.26,2,7.39,2,10.0,2,9.7,2,10.0,2,6.19,1,10.0,2,10.94,2,0.0,0,6.26,1,10.0,2,8.92,2,10.0,2,0.0,0,3.98,1,10.0,2
