OF22,OF26,OF27,F9,F17,F20,F22,F28,F29,F31,F33,F34,F35,F36,F43,F44,F45,F49,S5,SR
2,4,1904,4,2,3,2,2,2,4,3,2,4,1,1,1,3,2,0.518518519,4.775
2,4,1846,3,1,3,3,3,3,4,4,4,4,3,1,1,2,2,0.444444445,5.574
1,4,2224,1,1,1,4,2,2,2,3,3,4,2,1,1,0,1,0.370370371,5.21
3,4,1890,1,1,1,4,2,4,5,4,2,4,2,1,1,5,1,0.296296296,6.223
3,4,1512,1,1,1,3,2,2,5,6,3,4,1,5,0,0,1,0.222222222,10.0
1,2,2073,3,1,3,2,2,3,4,4,2,4,3,1,1,3,2,0.148148148,4.246
2,2,1854,2,2,2,4,2,2,2,5,3,4,3,1,1,2,1,0.074074074,5.128
1,2,2062,4,5,3,2,1,2,3,3,3,4,1,1,2,3,2,0.0,3.465
2,4,2082,2,1,1,2,2,2,5,4,3,3,2,1,2,0,1,0.0,4.599
1,4,1516,4,1,1,2,2,2,4,3,4,3,1,1,1,3,1,0.0,4.795
2,4,1523,2,1,1,3,2,2,5,4,3,3,2,1,1,5,1,0.0,5.322
1,3,1865,1,2,2,4,2,2,4,5,5,3,2,1,1,2,1,0.0,5.405
2,4,1933,4,3,2,2,2,2,5,4,4,3,2,1,1,3,1,0.0,5.129
2,3,2024,0,4,2,3,4,2,3,3,5,3,1,4,0,0,2,0.0,10.0
2,4,1916,4,2,2,3,2,2,5,3,2,2,1,5,0,0,1,0.0,10.0
1,6,2026,1,3,3,3,1,1,1,0,5,2,1,1,2,3,1,0.0,3.676
1,4,2009,2,2,2,3,2,3,5,5,3,2,3,2,1,2,1,0.0,5.06
3,4,2188,1,3,3,4,2,1,5,5,5,2,3,1,2,3,1,0.0,5.617
2,4,1893,3,1,1,2,2,2,4,4,2,2,2,1,1,2,2,0.0,4.14
2,3,1624,2,3,1,2,2,3,5,3,1,1,2,2,1,4,1,0.0,4.279
1,3,2254,3,1,1,1,2,3,4,4,4,1,3,1,1,3,1,0.0,3.911
2,6,2141,3,1,3,1,1,2,5,5,3,1,1,1,2,0,1,0.0,3.553
1,4,2109,2,4,3,3,2,2,1,0,0,0,0,1,2,5,2,0.0,3.63
3,3,1363,1,1,1,2,2,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,2122,2,2,2,2,3,2,1,0,0,0,0,1,2,4,1,0.0,5.056
2,6,2314,0,1,1,1,1,3,5,0,0,0,0,5,0,0,1,0.0,10.0
2,6,2082,0,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,7.778
2,6,2141,2,1,3,2,1,1,5,2,0,0,0,2,2,5,1,0.0,3.925
1,6,2039,0,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,5.833
2,4,1677,3,1,2,1,2,2,2,0,0,0,0,1,1,2,1,0.0,3.275
2,3,1950,1,2,3,2,1,1,4,0,0,0,0,1,1,5,1,0.0,2.967
2,6,1903,0,1,1,2,0,0,0,0,0,0,0,5,0,0,1,0.0,6.667
1,6,2092,1,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0.0,5.0
2,6,2236,1,1,2,2,1,1,3,0,0,0,0,1,2,1,1,0.0,2.878
1,6,2192,1,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0.0,5.0
1,3,2272,1,1,3,1,0,0,0,0,0,0,0,2,2,3,1,0.0,5.833
4,4,1358,1,1,1,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
2,4,1955,1,1,2,2,2,3,2,0,0,0,0,1,2,1,1,0.0,3.482
4,6,2183,0,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0.0,8.889
2,4,2079,0,1,3,2,1,2,4,0,0,0,0,1,1,4,2,0.0,2.957
1,4,1523,1,2,1,4,2,2,2,0,0,0,0,2,1,3,1,0.0,4.329
2,2,2221,2,2,3,3,1,1,3,0,0,0,0,1,2,5,2,0.0,2.834
3,4,2043,1,1,2,3,2,2,3,0,0,0,0,2,2,5,1,0.0,4.444
3,4,1854,1,1,3,3,2,2,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,2283,2,1,1,2,1,0,1,0,5,0,0,5,0,0,1,0.0,10.0
3,4,1339,0,3,3,3,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
1,6,2139,0,1,3,1,0,0,0,0,0,0,0,4,0,0,1,0.0,6.667
1,4,1608,0,1,2,2,2,0,1,0,0,0,0,1,1,4,2,0.0,3.627
2,4,1426,1,2,2,3,2,2,5,0,0,0,0,2,1,3,1,0.0,4.546
2,5,1799,0,2,2,2,1,2,1,0,0,0,0,1,2,4,2,0.0,3.09
2,5,1329,3,2,2,4,2,2,1,0,0,0,0,1,1,2,2,0.0,4.88
1,4,1418,2,1,2,4,2,2,1,0,0,0,0,1,2,2,1,0.0,4.787
1,6,1670,1,1,3,1,0,0,0,0,0,0,0,4,0,0,2,0.0,4.167
4,4,1551,1,1,2,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1551,1,1,2,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
3,6,1945,0,4,2,1,1,1,4,0,0,0,0,2,2,4,1,0.0,2.874
3,6,2181,1,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,8.056
3,6,2038,0,1,2,1,0,0,0,0,0,0,0,5,0,0,1,0.0,8.519
3,5,2083,0,4,3,3,1,1,3,0,0,0,0,1,1,4,2,0.0,3.282
2,5,1669,0,2,3,1,1,1,1,0,0,0,0,1,2,4,2,0.0,2.704
1,6,2026,0,1,3,1,1,1,5,1,0,0,0,5,0,0,1,0.0,10.0
1,6,2008,0,1,3,1,1,1,5,1,0,0,0,2,2,4,1,0.0,4.183
1,4,2003,0,2,2,4,2,2,5,0,0,0,0,1,2,4,1,0.0,4.606
2,4,2194,0,3,3,4,2,2,4,0,0,0,0,1,2,5,1,0.0,4.727
3,4,1883,0,3,3,4,3,2,1,0,0,0,0,1,2,4,2,0.0,5.426
3,4,1911,0,2,3,3,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
3,4,2217,0,2,3,4,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
2,6,1735,0,1,2,2,0,0,0,0,0,0,0,2,2,1,1,0.0,7.407
1,4,1864,1,1,1,3,2,1,5,0,0,0,0,4,0,0,1,0.0,10.0
4,6,2175,1,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0.0,8.333
3,4,1973,1,1,1,3,1,1,5,1,0,0,0,5,0,0,1,0.0,10.0
3,4,2166,1,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0.0,7.222
4,4,2079,1,1,1,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
1,6,2032,0,1,3,1,0,0,0,0,0,0,0,5,0,0,2,0.0,5.0
1,1,1888,0,1,3,1,0,0,0,0,0,0,0,4,0,0,2,0.0,5.0
3,6,2232,0,1,3,1,1,2,5,0,0,0,0,2,2,5,2,0.0,3.27
3,6,2232,0,1,3,1,2,2,4,0,0,0,0,2,2,5,2,0.0,3.919
2,6,2217,0,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0.0,6.667
2,6,2228,0,1,1,1,0,0,0,0,0,0,0,2,2,5,1,0.0,6.667
1,4,2026,1,4,1,2,1,1,4,0,0,0,0,2,2,4,1,0.0,2.625
1,4,1987,1,3,3,4,3,2,2,0,0,0,0,1,2,4,2,0.0,4.248
2,6,1968,0,2,3,2,1,2,1,0,0,0,0,2,2,5,2,0.0,3.537
2,4,1479,0,2,3,2,1,1,4,0,0,0,0,2,2,5,1,0.0,3.069
3,4,2195,0,1,1,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
3,4,2195,1,1,1,0,0,0,0,0,0,0,0,5,0,0,1,0.0,7.222
3,4,2009,0,3,1,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,2241,0,1,1,2,0,0,0,0,0,0,0,5,0,0,1,0.0,7.778
1,2,2292,0,3,2,4,2,2,1,0,0,0,0,1,2,4,1,0.0,4.515
3,4,1493,1,2,2,2,2,2,5,0,0,0,0,4,0,0,1,0.0,10.0
1,4,1418,0,2,2,4,2,2,1,0,0,0,0,1,2,5,2,0.0,4.293
1,4,1340,1,3,3,4,2,2,1,0,0,0,0,1,2,4,1,0.0,4.602
3,4,1887,0,4,2,4,2,2,4,0,0,0,0,2,2,4,1,0.0,4.763
1,3,1632,1,2,3,4,2,3,1,0,0,0,0,1,2,4,2,0.0,4.157
1,4,1348,1,2,1,3,3,3,1,0,0,0,0,1,2,4,1,0.0,4.528
1,3,1407,1,3,2,4,2,2,4,0,0,0,0,2,1,3,1,0.0,4.441
3,1,2017,0,1,3,1,1,1,1,0,0,0,0,1,2,4,2,0.0,2.778
2,3,1971,2,1,2,2,1,2,1,0,0,0,0,1,1,2,1,0.0,3.583
2,6,2039,1,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,6.944
2,4,1363,0,1,2,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
3,6,1824,1,1,3,1,0,0,0,0,0,0,0,4,0,0,1,0.0,8.056
1,6,2146,1,1,3,1,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
2,4,1421,1,1,1,2,1,1,5,0,0,0,0,1,3,5,1,0.0,2.495
2,4,1337,0,3,2,3,2,1,5,0,0,0,0,3,2,5,1,0.0,4.485
3,4,1408,1,1,1,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
2,4,1624,0,2,3,3,2,2,5,0,0,0,0,4,2,3,1,0.0,10.0
3,4,2075,1,1,2,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1692,1,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0.0,7.222
2,6,1945,2,4,3,2,1,1,4,1,0,0,0,1,2,4,1,0.0,4.147
1,4,2254,1,4,3,2,1,2,3,0,0,0,0,1,2,5,2,0.0,2.348
2,4,2241,2,2,1,1,2,2,1,0,0,0,0,1,1,1,2,0.0,3.296
2,4,1971,1,1,2,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
3,6,2039,0,1,3,1,0,0,0,0,0,0,0,4,0,0,2,0.0,7.222
1,6,2092,0,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0.0,5.556
2,4,1974,0,4,3,3,3,2,1,0,0,0,0,1,2,4,2,0.0,4.491
3,2,1706,3,1,1,5,2,2,5,0,0,0,0,2,1,3,1,0.0,5.441
2,2,1947,0,2,3,2,1,1,5,0,0,0,0,4,0,0,2,0.0,10.0
2,4,1428,0,2,3,4,2,2,2,0,0,0,0,2,1,5,2,0.0,4.542
2,6,1801,1,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,6.944
1,6,1943,1,1,3,1,0,0,0,0,0,0,0,4,0,0,2,0.0,4.167
1,4,2062,2,4,3,3,2,3,1,0,0,0,0,1,1,4,2,0.0,3.907
1,4,1947,0,4,3,3,3,2,1,0,0,0,0,1,1,5,2,0.0,4.306
2,6,2038,1,1,2,2,1,1,5,1,0,0,0,3,2,2,1,0.0,4.709
2,6,2029,1,1,3,1,1,1,2,0,0,0,0,5,0,0,2,0.0,10.0
3,4,2241,0,1,1,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
2,4,2341,0,1,2,4,2,1,5,0,0,0,0,4,0,0,1,0.0,10.0
0,4,2341,0,1,2,2,2,2,5,0,0,0,0,5,0,0,1,0.0,10.0
3,4,2075,0,4,2,1,0,0,0,0,0,0,0,4,0,0,1,0.0,7.407
3,4,1698,1,1,3,2,2,2,5,0,0,0,0,2,2,4,1,0.0,4.194
3,5,1677,1,1,1,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1464,1,1,1,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
1,4,1516,2,2,2,4,4,2,3,0,0,0,0,1,2,5,1,0.0,5.13
2,3,2118,1,1,2,4,1,1,1,0,0,0,0,1,2,2,1,0.0,4.028
3,4,2140,0,1,3,1,2,3,5,0,0,0,0,3,2,4,1,0.0,4.217
2,6,2181,0,1,1,1,0,0,0,0,0,0,0,5,0,0,1,0.0,6.667
2,6,2077,4,1,3,3,2,2,4,2,0,0,0,2,2,3,2,0.0,4.805
2,5,1835,2,3,3,3,3,2,4,0,0,0,0,1,1,4,2,0.0,4.511
3,4,1911,0,1,2,1,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
2,4,2011,1,4,1,3,2,2,5,0,0,0,0,2,1,2,1,0.0,4.356
2,4,1380,1,2,2,2,2,2,2,0,0,0,0,3,2,4,2,0.0,3.375
2,3,1380,1,1,1,2,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
1,4,1970,2,4,3,3,3,3,1,0,0,0,0,1,1,2,3,0.0,4.046
1,2,2207,0,4,3,2,1,2,3,0,0,0,0,1,1,4,2,0.0,2.329
1,4,2202,0,3,3,2,2,2,5,0,0,0,0,2,1,5,2,0.0,3.942
1,6,2111,1,1,3,1,0,0,0,0,0,0,0,5,0,0,2,0.0,4.167
2,6,2099,0,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,7.778
2,6,1987,0,1,3,1,0,0,0,0,0,0,0,5,0,0,1,0.0,7.778
2,5,1357,1,2,2,4,2,2,1,0,0,0,0,1,2,4,2,0.0,4.528
2,6,2080,0,4,3,4,0,0,0,0,0,0,0,5,0,0,1,0.0,6.667
2,4,1329,0,3,2,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
2,4,1329,0,1,2,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1342,0,1,2,1,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1342,0,1,1,1,1,1,5,0,0,0,0,5,0,0,1,0.0,10.0
1,2,1907,0,2,2,4,2,2,1,0,0,0,0,1,2,4,2,0.0,4.108
3,4,1907,1,1,1,3,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1437,1,1,2,2,1,1,5,0,0,0,0,4,0,0,1,0.0,10.0
3,4,1954,2,1,2,4,2,2,4,0,0,0,0,2,1,3,1,0.0,5.128
2,4,1486,0,1,3,3,2,2,5,0,0,0,0,1,2,5,1,0.0,4.496
1,3,1767,1,4,1,1,2,1,1,0,5,0,0,1,2,4,2,0.0,2.222
2,4,1950,1,2,2,0,2,2,3,0,0,0,0,1,1,1,1,0.0,3.222
2,4,2065,1,2,2,2,2,2,1,0,0,0,0,1,1,1,1,0.0,4.343
2,4,2146,1,2,2,3,2,2,2,0,0,0,0,1,2,1,2,0.0,3.53
2,4,2065,0,4,2,2,1,3,1,0,0,0,0,1,2,4,3,0.0,2.515
1,6,2169,1,1,1,1,0,0,0,0,0,0,0,4,0,0,1,0.0,5.0
2,4,1538,0,1,2,2,0,0,0,0,0,0,0,1,2,4,2,0.0,5.741
